Date;Heure;NS;SFC;@ mac;Code err;Interface;Resultat;
18/05/23;02:51:59;022375421104;ME2313840182;;0;8;PASS;
18/05/23;02:52:28;022375421107;ME2313840176;;0;7;PASS;
18/05/23;02:52:58;022375421109;ME2313840162;;-699;6;FAIL;
18/05/23;02:53:38;;;;-199;6;FAIL;
18/05/23;02:54:06;022375421121;ME2313840282;;0;5;PASS;
18/05/23;02:54:34;423231213726;ME2313840234;;-233;4;FAIL;
18/05/23;02:55:06;022375420268;ME2313840287;;0;3;PASS;
18/05/23;02:55:33;022375420430;ME2313840137;;0;2;PASS;
18/05/23;02:56:05;022375420440;ME2313840286;;0;1;PASS;
18/05/23;02:56:34;022375420673;ME2313840233;;0;8;PASS;
18/05/23;02:57:06;022375420675;ME2313840283;;0;7;PASS;
18/05/23;02:57:39;022375420682;ME2313840235;;0;6;PASS;
18/05/23;02:58:08;022375421112;ME2313840110;;0;5;PASS;
18/05/23;02:58:38;022375421115;ME2313840291;;0;4;PASS;
18/05/23;02:59:07;022375421117;ME2313840293;;0;3;PASS;
18/05/23;02:59:37;022375420201;ME2313840316;;0;2;PASS;
18/05/23;03:00:13;022375420434;ME2313840314;;0;1;PASS;
18/05/23;03:00:45;022375420435;ME2313840179;;0;8;PASS;
18/05/23;03:01:16;022375420438;ME2313840317;;0;7;PASS;
18/05/23;03:01:47;022375420441;ME2313840315;;0;6;PASS;
18/05/23;03:02:14;022375420450;ME2313840320;;0;5;PASS;
18/05/23;03:02:43;022375420677;ME2313840321;;0;4;PASS;
18/05/23;03:03:14;022375420679;ME2313840323;;0;3;PASS;
18/05/23;03:03:43;022375420686;ME2313840324;;0;2;PASS;
18/05/23;03:04:12;022375420691;ME2313840344;;0;1;PASS;
18/05/23;03:05:57;022375420200;ME2313840325;;0;8;PASS;
18/05/23;03:06:25;022375420204;ME2313840329;;0;7;PASS;
18/05/23;03:06:55;022375420206;ME2313840331;;0;6;PASS;
18/05/23;03:07:23;022375420209;ME2313840334;;0;5;PASS;
18/05/23;03:07:52;022375420442;ME2313840354;;0;4;PASS;
18/05/23;03:08:21;723231374191;ME2313840355;;-210;3;FAIL;
18/05/23;03:08:51;022375420447;ME2313840336;;0;2;PASS;
18/05/23;03:09:20;022375420684;ME2313840284;;0;1;PASS;
18/05/23;03:11:04;022375420688;ME2313840330;;0;8;PASS;
18/05/23;03:11:33;022375421133;ME2313840181;;0;7;PASS;
18/05/23;03:12:02;022375421168;ME2313840363;;0;6;PASS;
18/05/23;03:12:31;022375420278;ME2313840360;;0;5;PASS;
18/05/23;03:13:00;423231375178;ME2313840319;;-233;4;FAIL;
18/05/23;03:13:42;;;;-199;4;FAIL;
18/05/23;03:14:15;723231374191;ME2313840355;;-210;3;FAIL;
18/05/23;03:14:44;022375420294;ME2313840147;;0;2;PASS;
18/05/23;03:15:18;022375420296;ME2313840180;;0;1;PASS;
18/05/23;03:15:49;022375421124;ME2313840083;;-502;8;FAIL;
18/05/23;03:16:18;022375421127;ME2313840375;;0;7;PASS;
18/05/23;03:16:47;022375421130;ME2313840376;;0;6;PASS;
18/05/23;03:17:18;723231375782;ME2313840373;;-243;5;FAIL;
18/05/23;03:17:48;423231375178;ME2313840319;;-233;4;FAIL;
18/05/23;03:18:18;022375421144;ME2313840402;;0;3;PASS;
18/05/23;03:18:47;022375420211;ME2313840405;;0;2;PASS;
18/05/23;03:19:15;022375420212;ME2313840399;;0;1;PASS;
18/05/23;03:19:46;022375421124;ME2313840083;;0;8;PASS;
18/05/23;03:20:13;723231374191;;;-107;8;FAIL;
18/05/23;03:20:46;022375420288;ME2313840403;;0;7;PASS;
18/05/23;03:21:18;022375420455;ME2313840410;;0;6;PASS;
18/05/23;03:21:47;022375420461;ME2313840322;;0;5;PASS;
18/05/23;03:22:15;022375420696;ME2313840404;;0;4;PASS;
18/05/23;03:22:45;022375421136;ME2313840417;;0;3;PASS;
18/05/23;03:23:22;022375421138;ME2313840414;;0;2;PASS;
18/05/23;03:23:46;022375420720;;;-156;2;FAIL;
18/05/23;03:24:19;423231372285;ME2313840415;;-208;1;FAIL;
18/05/23;03:24:49;022375421154;ME2313840420;;0;8;PASS;
18/05/23;03:25:20;022375420215;ME2313840319;;0;7;PASS;
18/05/23;03:25:52;022375420218;ME2313840440;;0;6;PASS;
18/05/23;03:26:21;022375420223;ME2313840372;;0;5;PASS;
18/05/23;03:26:50;022375420231;ME2313840449;;0;4;PASS;
18/05/23;03:27:23;022375420484;ME2313840133;;0;3;PASS;
18/05/23;03:27:52;022375420459;ME2313840447;;0;2;PASS;
18/05/23;03:28:21;022375420465;ME2313840454;;0;1;PASS;
18/05/23;03:28:54;423231372285;ME2313840415;;-208;8;FAIL;
18/05/23;03:29:24;022375420472;ME2313840475;;0;7;PASS;
18/05/23;03:29:54;022375420695;ME2313840398;;0;6;PASS;
18/05/23;03:30:25;022375420699;ME2313840378;;0;5;PASS;
18/05/23;03:30:53;423231372392;ME2313840452;;-233;4;FAIL;
18/05/23;03:31:23;022375420227;ME2313840458;;0;3;PASS;
18/05/23;03:31:53;022375420463;ME2313840467;;0;2;PASS;
18/05/23;03:32:20;022375420467;ME2313840457;;0;1;PASS;
18/05/23;03:33:04;022375420469;ME2313840374;;0;8;PASS;
18/05/23;03:33:31;022375420631;ME2313840466;;0;7;PASS;
18/05/23;03:34:16;022375420634;ME2313840401;;0;6;PASS;
18/05/23;03:34:51;022375420871;ME2313840463;;0;5;PASS;
18/05/23;03:36:25;423231372392;ME2313840452;;-233;4;FAIL;
18/05/23;03:37:13;;;;-199;4;FAIL;
18/05/23;03:37:46;022375420874;ME2313840464;;0;3;PASS;
18/05/23;03:38:18;022375420400;ME2313840481;;0;2;PASS;
18/05/23;03:38:48;022375420403;ME2313840472;;0;1;PASS;
18/05/23;03:39:17;022375420638;ME2313840415;;0;8;PASS;
18/05/23;03:39:47;022375420645;ME2313840448;;0;7;PASS;
18/05/23;03:40:17;022375420809;ME2313840050;;0;6;PASS;
18/05/23;03:41:02;;;;-199;6;FAIL;
18/05/23;03:41:32;022375420879;ME2313840501;;0;5;PASS;
18/05/23;03:42:01;423231374575;ME2313840530;;-233;4;FAIL;
18/05/23;03:42:30;022375420883;ME2313840537;;0;3;PASS;
18/05/23;03:43:01;022375420890;ME2313840527;;0;2;PASS;
18/05/23;03:43:28;022375420801;ME2313840528;;0;1;PASS;
18/05/23;03:43:58;022375420804;ME2313840529;;0;8;PASS;
18/05/23;03:44:27;022375420805;ME2313840499;;0;7;PASS;
18/05/23;03:44:55;022375420808;ME2313840500;;0;6;PASS;
18/05/23;03:45:24;022375420811;ME2313840538;;0;5;PASS;
18/05/23;03:45:52;022375420814;ME2313840530;;0;4;PASS;
18/05/23;03:46:22;022375420816;ME2313840556;;0;3;PASS;
18/05/23;03:46:50;022375420818;ME2313840546;;0;2;PASS;
18/05/23;03:47:28;022375420821;ME2313840564;;0;1;PASS;
18/05/23;03:47:57;022375420823;ME2313840566;;0;8;PASS;
18/05/23;03:48:28;022375420825;ME2313840565;;0;7;PASS;
18/05/23;03:49:03;022375420885;ME2313840571;;0;6;PASS;
18/05/23;03:49:28;022375420299;ME2313840572;;0;5;PASS;
18/05/23;03:49:59;022375420828;ME2313840576;;0;4;PASS;
18/05/23;03:50:28;022375421092;ME2313840547;;0;3;PASS;
18/05/23;03:51:01;022375421093;ME2313840580;;0;2;PASS;
18/05/23;03:51:34;022375421096;ME2313840595;;0;1;PASS;
18/05/23;03:52:03;022375421098;ME2313840579;;0;8;PASS;
18/05/23;03:52:42;022375421145;ME2313840575;;0;7;PASS;
