Date;Heure;NS;SFC;@ mac;Code err;Interface;Resultat
18/05/2023;2:34:30;22375420733;ME2313840196;;0;7;PASS
18/05/2023;2:35:05;22375420735;ME2313840195;;0;6;PASS
18/05/2023;2:35:34;22375420737;ME2313840201;;0;5;PASS
18/05/2023;2:36:06;7,23231E+11;ME2313840157;;-233;4;FAIL
18/05/2023;2:36:36;22375420741;ME2313840199;;0;3;PASS
18/05/2023;2:37:08;22375420970;ME2313840160;;0;2;PASS
18/05/2023;2:37:36;22375420975;ME2313840086;;0;1;PASS
18/05/2023;2:38:05;22375420977;ME2313840193;;0;8;PASS
18/05/2023;2:38:33;7,23231E+11;ME2313840162;;-308;7;FAIL
18/05/2023;2:39:12;;;;-199;7;FAIL
18/05/2023;2:39:54;;;;-199;7;FAIL
18/05/2023;2:40:24;22375420981;ME2313840205;;0;6;PASS
18/05/2023;2:40:53;22375420983;ME2313840212;;0;5;PASS
18/05/2023;2:41:22;7,23231E+11;ME2313840157;;-233;4;FAIL
18/05/2023;2:41:59;22375420262;ME2313840227;;0;3;PASS
18/05/2023;2:42:28;22375420504;ME2313840148;;0;2;PASS
18/05/2023;2:42:56;22375420506;ME2313840087;;0;1;PASS
18/05/2023;2:43:26;22375420507;ME2313840152;;0;8;PASS
18/05/2023;2:43:54;4,23231E+11;ME2313840237;;-243;7;FAIL
18/05/2023;2:44:24;7,23231E+11;ME2313840162;;-201;6;FAIL
18/05/2023;2:45:05;;;;-199;6;FAIL
18/05/2023;2:45:35;22375420745;ME2313840151;;0;5;PASS
18/05/2023;2:46:03;22375420747;ME2313840232;;0;4;PASS
18/05/2023;2:46:32;22375420984;ME2313840239;;0;3;PASS
18/05/2023;2:47:11;22375420986;ME2313840157;;0;2;PASS
18/05/2023;2:47:37;22375421111;ME2313840177;;0;1;PASS
18/05/2023;2:48:05;22375420255;ME2313840242;;0;8;PASS
18/05/2023;2:48:34;22375420257;ME2313840237;;0;7;PASS
18/05/2023;2:49:06;22375420270;ME2313840245;;0;6;PASS
18/05/2023;2:49:32;22375420272;ME2313840248;;0;5;PASS
18/05/2023;2:50:01;7,23231E+11;ME2313840247;;-233;4;FAIL
18/05/2023;2:50:31;22375420496;ME2313840250;;0;3;PASS
18/05/2023;2:51:06;22375420499;ME2313840274;;0;2;PASS
18/05/2023;2:51:31;22375421101;ME2313840271;;0;1;PASS
18/05/2023;2:51:59;22375421104;ME2313840182;;0;8;PASS
18/05/2023;2:52:28;22375421107;ME2313840176;;0;7;PASS
18/05/2023;2:52:58;22375421109;ME2313840162;;-699;6;FAIL
18/05/2023;2:53:38;;;;-199;6;FAIL
18/05/2023;2:54:06;22375421121;ME2313840282;;0;5;PASS
18/05/2023;2:54:34;4,23231E+11;ME2313840234;;-233;4;FAIL
18/05/2023;2:55:06;22375420268;ME2313840287;;0;3;PASS
18/05/2023;2:55:33;22375420430;ME2313840137;;0;2;PASS
18/05/2023;2:56:05;22375420440;ME2313840286;;0;1;PASS
18/05/2023;2:56:34;22375420673;ME2313840233;;0;8;PASS
18/05/2023;2:57:06;22375420675;ME2313840283;;0;7;PASS
18/05/2023;2:57:39;22375420682;ME2313840235;;0;6;PASS
18/05/2023;2:58:08;22375421112;ME2313840110;;0;5;PASS
18/05/2023;2:58:38;22375421115;ME2313840291;;0;4;PASS
18/05/2023;2:59:07;22375421117;ME2313840293;;0;3;PASS
18/05/2023;2:59:37;22375420201;ME2313840316;;0;2;PASS
18/05/2023;3:00:13;22375420434;ME2313840314;;0;1;PASS
18/05/2023;3:00:45;22375420435;ME2313840179;;0;8;PASS
18/05/2023;3:01:16;22375420438;ME2313840317;;0;7;PASS
18/05/2023;3:01:47;22375420441;ME2313840315;;0;6;PASS
18/05/2023;3:02:14;22375420450;ME2313840320;;0;5;PASS
18/05/2023;3:02:43;22375420677;ME2313840321;;0;4;PASS
18/05/2023;3:03:14;22375420679;ME2313840323;;0;3;PASS
18/05/2023;3:03:43;22375420686;ME2313840324;;0;2;PASS
18/05/2023;3:04:12;22375420691;ME2313840344;;0;1;PASS
18/05/2023;3:05:57;22375420200;ME2313840325;;0;8;PASS
18/05/2023;3:06:25;22375420204;ME2313840329;;0;7;PASS
18/05/2023;3:06:55;22375420206;ME2313840331;;0;6;PASS
18/05/2023;3:07:23;22375420209;ME2313840334;;0;5;PASS
18/05/2023;3:07:52;22375420442;ME2313840354;;0;4;PASS
